employee_id,first_name,last_name,email,phone,date_of_birth,branch_id,position_title,department,position_level,monthly_salary,contract_type,weekly_hours,hire_date,termination_date,is_active,manager_id
99,Lynn,Hoekstra,lynn.hoekstra@degoudentarwe.nl,+31 010 9358054,1991-12-19,6,Bezorger,Logistiek,2,1947.17,Vast,24,2018-06-04,,True,
100,Noah,Peters,noah.peters@degoudentarwe.nl,+31 06 28546580,1982-08-27,6,Banketbakker,Productie,4,3333.44,Vast,36,2015-08-12,2015-09-12,False,51
101,Greta,de Haan,greta.dehaan@degoudentarwe.nl,+31 040 6766872,1996-06-16,6,Verkoopmedewerker (parttime),Verkoop,1,1191.11,Vast,32,2016-06-06,2019-09-17,False,
102,Thomas,de Jong,thomas.dejong@degoudentarwe.nl,+31 06 22766887,2000-10-24,6,Marketing Medewerker,Marketing,3,2648.53,Tijdelijk,32,2018-04-02,,True,28
103,Fleur,Hermans,fleur.hermans@degoudentarwe.nl,+31 06 70207260,1985-03-20,7,Filiaalmanager,Management,5,4272.47,Stage,16,2017-08-14,2021-01-20,False,43
104,Anna,Hoekstra,anna.hoekstra@degoudentarwe.nl,+31 020 8340461,1975-03-07,7,Banketbakker,Productie,4,3702.15,Vast,40,2017-08-17,,True,61
105,Tessa,Visser,tessa.visser@degoudentarwe.nl,+31 06 39215363,1991-12-20,7,Boekhouder,Financien,4,3194.50,Stage,40,2019-07-27,,True,62
106,Ruben,Smit,ruben.smit@degoudentarwe.nl,+31 06 23868850,2004-10-01,7,HR Medewerker,HR,4,3747.62,Vast,36,2017-08-22,,True,60
107,Adriana,Kuiper,adriana.kuiper@degoudentarwe.nl,+31 020 3971815,1971-11-16,7,Magazijnmedewerker,Logistiek,2,1878.00,Stage,20,2018-09-23,,True,
108,Tessa,de Boer,tessa.deboer@degoudentarwe.nl,+31 06 57824320,1989-08-04,7,Bezorger,Logistiek,2,2387.84,Stage,24,2019-03-27,,True,
109,Wim,van Beek,wim.vanbeek@degoudentarwe.nl,+31 06 52311042,1985-02-26,7,HR Medewerker,HR,4,3440.10,Vast,20,2018-02-19,,True,71
110,Lotte,Peeters,lotte.peeters@degoudentarwe.nl,+31 040 1429695,1969-02-17,7,Regiomanager,Management,6,4653.73,Vast,40,2017-09-16,,True,42
111,Wim,van den Berg,wim.vandenberg@degoudentarwe.nl,+31 010 2568307,1998-04-14,7,Assistent Bakker,Productie,2,1821.12,Vast,16,2017-05-08,,True,
112,Hendrik,Peters,hendrik.peters@degoudentarwe.nl,+31 020 2905471,1989-04-22,7,Marketing Medewerker,Marketing,3,2957.60,Stage,36,2017-06-20,,True,20
113,Iris,Dekker,iris.dekker@degoudentarwe.nl,+31 010 5038550,1979-10-22,7,Hoofdbakker,Productie,4,3764.16,Stage,32,2017-06-08,,True,77
114,Lucas,van Vliet,lucas.vanvliet@degoudentarwe.nl,+31 06 67224872,1995-04-17,7,Bakker,Productie,3,2807.16,Stage,16,2017-07-29,,True,71
115,Ruben,van den Berg,ruben.vandenberg@degoudentarwe.nl,+31 06 58651144,2003-04-19,7,Banketbakker,Productie,4,3335.64,Stage,32,2017-11-17,,True,89
116,Emma,Meijer,emma.meijer@degoudentarwe.nl,+31 010 1752511,1966-07-10,7,Bakker,Productie,3,3370.65,Stage,20,2017-10-22,,True,38
117,Charlotte,de Boer,charlotte.deboer@degoudentarwe.nl,+31 040 9330685,1973-09-01,7,Assistent Bakker,Productie,2,1823.90,Tijdelijk,16,2018-04-13,,True,
118,Sem,Peeters,sem.peeters@degoudentarwe.nl,+31 06 72371089,1972-07-25,7,Assistent Bakker,Productie,2,1856.32,Tijdelijk,40,2017-11-18,,True,
119,Gerard,Vos,gerard.vos@degoudentarwe.nl,+31 010 9582360,1971-09-04,7,Filiaalmanager,Management,5,3540.08,Stage,16,2018-09-30,,True,37
120,Noa,Dekker,noa.dekker@degoudentarwe.nl,+31 06 96852744,1984-11-26,7,Assistent Banketbakker,Productie,2,2517.92,Stage,40,2017-04-25,2021-04-06,False,
121,Ruben,Strik,ruben.strik@degoudentarwe.nl,+31 020 5157614,1984-01-07,7,Assistent Manager,Management,4,3392.22,Oproep,0,2019-02-11,,True,89
122,Jesse,Hoekstra,jesse.hoekstra@degoudentarwe.nl,+31 040 6418292,1985-12-18,7,Regiomanager,Management,6,4500.41,Vast,20,2017-07-02,2020-06-20,False,98
123,Niels,van de Ven,niels.vandeven@degoudentarwe.nl,+31 020 6756463,1966-05-06,8,Regiomanager,Management,6,6025.08,Tijdelijk,40,2014-08-04,,True,71
124,Petronella,Jacobs,petronella.jacobs@degoudentarwe.nl,+31 010 5520479,1983-02-17,8,Marketing Medewerker,Marketing,3,3002.79,Vast,16,2016-06-27,,True,64
125,Fenna,van Dijk,fenna.vandijk@degoudentarwe.nl,+31 06 89040411,1997-06-21,8,HR Medewerker,HR,4,3387.84,Oproep,0,2018-06-06,,True,25
126,Joost,Smeets,joost.smeets@degoudentarwe.nl,+31 06 58522689,1988-09-04,8,Verkoopmedewerker (parttime),Verkoop,1,1371.29,Stage,36,2015-11-19,2016-01-01,False,
127,Jesse,Dekker,jesse.dekker@degoudentarwe.nl,+31 020 4508433,1985-07-08,8,Assistent Banketbakker,Productie,2,2326.44,Tijdelijk,16,2014-07-22,,True,
128,Daan,Bakker,daan.bakker@degoudentarwe.nl,+31 06 45115535,1982-04-18,8,HR Medewerker,HR,4,2890.94,Vast,24,2018-06-26,,True,6
129,Wim,Mulder,wim.mulder@degoudentarwe.nl,+31 06 33760535,1965-11-24,8,Magazijnmedewerker,Logistiek,2,2090.22,Stage,32,2016-08-23,,True,
130,Noa,van der Meer,noa.vandermeer@degoudentarwe.nl,+31 010 2400120,2001-01-08,8,Hoofdbakker,Productie,4,4113.99,Tijdelijk,36,2017-07-26,,True,39
131,Sophie,Meijer,sophie.meijer@degoudentarwe.nl,+31 06 43764930,1989-11-05,8,HR Medewerker,HR,4,2892.75,Stage,32,2018-08-21,,True,59
132,Johanna,Peeters,johanna.peeters@degoudentarwe.nl,+31 06 83885424,1989-12-26,8,Verkoopmedewerker,Verkoop,2,1815.04,Vast,32,2015-11-22,,True,
133,Emma,Bakker,emma.bakker@degoudentarwe.nl,+31 010 9132583,1973-05-12,8,Assistent Bakker,Productie,2,1908.64,Tijdelijk,20,2018-03-25,,True,
134,Mila,de Haan,mila.dehaan@degoudentarwe.nl,+31 06 54657358,1998-09-14,8,Assistent Manager,Management,4,2877.76,Tijdelijk,40,2017-04-07,,True,15
135,Finn,Dekker,finn.dekker@degoudentarwe.nl,+31 06 46456819,2001-06-24,8,Filiaalmanager,Management,5,3629.94,Stage,40,2015-10-12,,True,10
136,Liam,Hoekstra,liam.hoekstra@degoudentarwe.nl,+31 010 4753523,1987-03-05,8,Bezorger,Logistiek,2,2104.89,Stage,36,2018-05-03,,True,
137,Joost,Vos,joost.vos@degoudentarwe.nl,+31 06 63348872,1966-11-18,9,Magazijnmedewerker,Logistiek,2,2078.17,Oproep,0,2016-09-24,,True,
138,Sophie,de Vries,sophie.devries@degoudentarwe.nl,+31 06 73573298,1992-05-23,9,Leerling Bakker,Productie,1,1795.38,Stage,16,2017-04-03,,True,
139,Jan,van Vliet,jan.vanvliet@degoudentarwe.nl,+31 06 31018672,1976-06-04,9,Bakker,Productie,3,2640.38,Stage,16,2016-08-07,,True,103
140,Milan,Peters,milan.peters@degoudentarwe.nl,+31 030 7416166,1972-07-10,9,Schoonmaker,Facilitair,1,1668.34,Tijdelijk,16,2015-09-23,,True,
141,Noah,van Vliet,noah.vanvliet@degoudentarwe.nl,+31 06 79459057,1974-01-07,9,HR Medewerker,HR,4,2839.62,Tijdelijk,16,2016-08-21,,True,99
142,Kees,Strik,kees.strik@degoudentarwe.nl,+31 030 5248297,1973-09-05,9,Filiaalmanager,Management,5,3566.99,Oproep,0,2014-12-20,,True,37
143,Sara,Strik,sara.strik@degoudentarwe.nl,+31 030 2372514,1981-07-27,9,Verkoopmedewerker (parttime),Verkoop,1,1346.53,Oproep,0,2015-06-29,,True,
144,Lotte,Hendriks,lotte.hendriks@degoudentarwe.nl,+31 020 7679054,1982-07-24,9,Bezorger,Logistiek,2,2128.55,Stage,40,2015-12-14,,True,
145,Mila,de Graaf,mila.degraaf@degoudentarwe.nl,+31 040 5612743,1975-08-05,9,Assistent Manager,Management,4,3684.09,Stage,16,2015-08-20,,True,94
146,Lisa,Meijer,lisa.meijer@degoudentarwe.nl,+31 010 2922802,1993-09-08,9,Magazijnmedewerker,Logistiek,2,1889.92,Oproep,0,2015-02-12,2015-12-15,False,
147,Evi,de Jong,evi.dejong@degoudentarwe.nl,+31 06 28428911,1999-01-12,9,Filiaalmanager,Management,5,4498.03,Tijdelijk,36,2018-03-02,,True,69
148,Milan,de Graaf,milan.degraaf@degoudentarwe.nl,+31 030 8726050,1988-02-10,9,Schoonmaker,Facilitair,1,1817.33,Oproep,0,2018-06-14,,True,
149,Levi,Peeters,levi.peeters@degoudentarwe.nl,+31 020 1656618,1969-09-08,9,Regiomanager,Management,6,5599.60,Tijdelijk,20,2017-10-09,,True,139
150,Charlotte,van de Ven,charlotte.vandeven@degoudentarwe.nl,+31 06 74810337,1995-10-15,9,Schoonmaker,Facilitair,1,1682.64,Oproep,0,2015-02-22,,True,
151,Sanne,van de Ven,sanne.vandeven@degoudentarwe.nl,+31 040 3544708,1977-01-16,9,Marketing Medewerker,Marketing,3,3410.01,Vast,32,2016-04-01,2017-02-05,False,12
152,Willem,de Boer,willem.deboer@degoudentarwe.nl,+31 06 50214518,1996-03-16,9,Verkoopmedewerker (parttime),Verkoop,1,1225.15,Oproep,0,2014-05-09,,True,
153,Adriana,de Wit,adriana.dewit@degoudentarwe.nl,+31 030 5910879,1986-11-10,9,Verkoopmedewerker (parttime),Verkoop,1,1081.72,Tijdelijk,20,2018-10-13,,True,
154,Levi,Jansen,levi.jansen@degoudentarwe.nl,+31 040 9978962,1989-10-16,9,Assistent Bakker,Productie,2,1965.89,Oproep,0,2019-02-20,,True,
155,Finn,van Vliet,finn.vanvliet@degoudentarwe.nl,+31 020 6620817,1983-02-10,9,Banketbakker,Productie,4,3555.21,Tijdelijk,20,2016-03-21,,True,88
156,Daan,van Leeuwen,daan.vanleeuwen@degoudentarwe.nl,+31 020 3187591,1975-06-04,9,Banketbakker,Productie,4,3574.22,Stage,20,2018-12-16,,True,117
